gesture,ppl
63,18.892761839500505
56,1.2289818606522587
63,1.1406986674953838
72,1.339622839591045
63,1.1406986674953838
72,4.470477801447664
64,49.49917889168931
63,1.1406986674953838
64,21.132905284675946
63,18.892761839500505
64,16.279493745081915
63,1.1406986674953838
72,112.12780102076296
36,1.6866346935785836
36,76.26424341514522
72,25.940241241370888
0,1.0076363088533207
63,1.1406986674953838
63,1.1406986674953838
56,1.2289818606522587
63,1.314419262072075
20,212.4360809556327
63,1.1391007937778075
72,1.334771273982254
63,1.1391007937778075
63,6.940781718509949
56,9.141655635236942
63,1.1391007937778075
64,1.3033833337021457
63,1.314419262072075
64,1.4676940607297924
63,1.1391007937778075
63,8.371803612219612
36,1.667145973979258
63,3.3278201374882603
72,1.427508215611725
0,1.007544756064141
63,1.1391007937778075
63,1.1391007937778075
56,1.2292547218383425
63,1.2859888240026351
20,1.8619064313907876
64,35.49078179428069
72,1.32924459593627
63,1.1326823225004008
63,1.2652543855934035
56,1.3985121146257546
63,1.1326823225004008
64,1.277084349988692
64,15.331962462015277
64,1.372289547088351
63,1.1326823225004008
63,1.4040248591290485
63,3.9646716835713987
63,1.2679994121045632
72,1.3737226859911236
0,1.0074378251208456
63,1.1326823225004008
63,1.1326823225004008
64,16.471780051927823
63,1.265027048533041
20,1.7025019243527741
64,1.2664562421934675
72,1.326733228397465
63,1.1238102949654347
63,1.2153489541058884
56,1.365602845714804
63,1.1238102949654347
64,1.266507026871898
63,14.666555463445397
64,1.3314039558616102
63,1.1238102949654347
63,1.3341001275771633
63,1.3584555279817432
63,1.242374416735185
72,1.3520353926470707
0,1.0073252916521227
63,1.1238102949654347
63,1.1238102949654347
56,3.9667602938429862
63,1.2491395449131883
20,1.6554933664590334
64,1.252276654071927
56,34.09955174227731
63,1.1163439750108892
63,1.1871007673316767
56,1.3432710110837622
63,1.1163439750108892
64,1.257813692918757
63,1.2880147686183423
64,1.3087707758963443
63,1.1163439750108892
63,1.2893570523589695
63,1.3283661558013256
63,1.2246128316154505
72,1.3423220935004487
0,1.0071926115379874
63,1.1163439750108892
63,1.1163439750108892
64,9.144269277908236
63,1.2367552477264991
64,188.6506278059222
64,1.2464511345894338
64,9.477557539484877
63,1.1099716407892406
63,1.1692500186442496
56,1.3260866346235016
63,1.1099716407892406
64,1.2494887109433406
72,17.569181676383955
64,1.29070615863926
63,1.1099716407892406
63,1.2599904611444683
63,1.3045076097472719
64,34.231724076311174
42,575.306660436879
0,1.007049799022473
63,1.1099716407892406
63,1.1099716407892406
56,4.33639518228739
63,1.2267193833526082
32,32.9110748653862
64,1.2426729162963641
64,1.4382420786799532
63,1.1029274466812988
72,21.062855804581975
56,1.3111980059639605
56,33.593289642386104
64,1.2437299424752892
72,1.6322009466431064
64,1.278879038855016
63,1.1029274466812988
63,1.236755966461191
72,22.51547246094846
63,11.73622649492742
48,13.143502051903177
0,1.006955385304375
63,1.1029274466812988
63,1.1029274466812988
56,1.3418525649744637
63,1.2172548699964638
20,13.373186638621698
64,1.240841261536309
40,309.09134746657867
63,1.0928429335851264
72,1.6343728092593137
56,1.2975211134940243
63,3.7671652440234724
64,1.2413021357875393
63,5.25727908827275
48,463.1933146104986
63,1.0928429335851264
63,1.2162551957698318
72,1.6082096279657159
63,1.2558354206096678
72,5.867264763364612
0,1.0069434640577584
63,1.0928429335851264
63,1.0928429335851264
56,1.3268853464641084
63,1.2061868963539777
20,1.7305994900553807
72,29.421755132224945
64,2.484052668530627
63,1.08259058278873
72,1.5545437231259578
63,12.802426138731024
63,1.1494539915124926
64,1.2408199242878615
63,1.2669360697553822
48,1.6998558384265887
63,1.08259058278873
63,1.1974287042944531
72,1.5287713973965502
63,1.2445849235114663
72,1.4456169769424216
0,1.0069742202613883
63,1.08259058278873
63,1.08259058278873
56,1.3137978158825558
63,1.1943765810125588
20,1.6738850944058974
64,6.448491211995813
64,1.2549118982058878
63,1.074795124639625
72,1.5045230466659496
63,1.5360161143707998
63,1.1336681813330363
64,1.240269184175539
63,1.2549643518048659
48,1.5709339558703066
63,1.074795124639625
63,1.1814069812842818
72,1.4817223569924578
63,1.2342609196991499
42,97.42050505270628
0,1.0070040226771872
63,1.074795124639625
63,1.074795124639625
56,1.3032338711364668
63,1.1846644812097529
20,1.6378444595901924
64,1.240390539319708
64,1.2460285460989604
