- All right	53 52 52
so the truth about productivity	79 79 79 79 76
is that it's not really about the apps	49 49 46 -29 0 0 0 0
it's not really about having a perfect system	-29 0 0 0 0 -149 -149 -149
or about being disciplined	-179 -179 -179 -179
or motivated more than anyone else	0 1 1 1 1 1
Those things do help	0 0 46 46
but what I've realized over the last few months	46 46 46 46 46 46 37 37 37
is that there is actually a hidden secret	37 37 46 46 64 64 73 73
to productivity and fulfillment	73 76 76 76
So grab a cup of tea and we can talk about it	76 76 76 46 19 46 49 73 46 64 37 37
As you may or may not know	37 37 37 49 49 52 52
I am in the middle of writing a book	79 79 79 79 79 52 52 43 44
and it's a book about productivity	43 43 19 21 0 0
And so I've been thinking a lot over the last few months	0 0 0 0 0 0 0 0 0 0 0 0
about like what does productivity actually mean to me	0 0 0 0 0 0 80 80 80
And the main insight that I've realized	80 80 80 80 79 79 76
is that productivity to be honest	76 76 80 53 53 53
isn't really about getting more things done	79 40 41 41 41 41 41
it's mostly about learning joy the journey	49 49 49 28 31 31 58
because when we're having fun	71 71 79 79 79
we're doing the things that we're doing	70 40 40 49 49 49 49
then productivity kind of just takes care of itself	49 49 50 49 49 49 41 50 77
And this is kind of obvious right	80 80 79 79 49 52 79
Like you know when we're doing stuff that we enjoy	79 79 70 70 49 49 49 79 79 79
when we're hanging out with friends or watching Netflix	79 79 79 79 70 70 31 31 31
or playing video games	31 31 31 31
we're never worried about our productivity	31 32 32 0 0 0
we're never worried about motivation	0 0 0 0 0
We never say	0 71 71
I need to be motivated to watch this next episode	44 53 53 53 53 53 43 79 80 80
of Netflix or to play "War Zone" with the boys	52 52 53 80 53 53 71 79 79 79
We only really need motivation	79 79 76 76 76
in inverted commas for the things	76 76 79 43 52 52
that are like short-term painful for long-term gain	52 53 53 53 53 0 0 0
And we as humans we are absolutely terrible	0 0 0 0 0 0 0 0
at motivating ourselves to do things	0 0 0 53 53 53
in service to our future selves	53 79 52 49 67 70
because we're all obsessed with instant gratification	70 70 70 70 58 58 58
And so the conundrum that we're dealing with	58 70 70 67 58 55 58 40
is how do we make ourselves do things	49 49 41 41 49 49 71 70
that are short-term painful in service to our future selves	70 40 40 40 68 67 67 50 49 19
How do we make ourselves	50 50 50 50 50
How do we motivate ourselves to be productive	50 49 49 40 49 76 76 76
to sit down and learn to code	76 76 76 76 76 76 76
or to do our homework assignment	46 49 49 49 64 64
or to work on that side project	67 58 37 37 0 0 0
after we've come home from a hard day of work	0 0 0 0 0 -239 0 0 0 0
because we know we wanna be entrepreneurs	0 0 1 1 0 0 0
at the end of the day	0 0 0 0 0 0
And there's broadly two ways of answering this question:	0 0 0 0 0 0 0 0 0
The first one is something that I call	0 0 0 0 0 0 0 0
the Muhammad Ali method	0 41 41 50
This is called the Muhammad Ali method	50 50 49 49 49 49 49
because Muhammad Ali famous boxer	49 49 49 49 49
has this famous quote where he said something like	49 49 49 49 41 41 41 41 41
"I hated every minute of training	44 71 49 49 49 49
"but I said don't quit	49 49 49 49 49
"Suffer now and live the rest of your life as a champion."	49 49 49 67 68 32 41 41 68 68 68 68
And my middle is amazing	68 68 69 69 68
everyone loves him and all that stuff obviously	68 68 68 79 70 50 41 71
But I think this approach	71 41 41 49 67
to work as like work equals suffering	40 49 46 49 41 41 41
that's an approach that I'm not really a fan of	41 41 41 41 41 41 46 46 50 50
and maybe that's what you need	50 50 50 50 50 77
if you wanna become like you know	49 40 40 41 50 50 50
world heavyweight boxing champion	49 50 50 50
or if you wanna win gold at the Olympics	50 76 76 41 41 49 49 49 49
But you know if I think about what I want from my life	49 76 67 68 49 49 49 49 46 67 76 76 77
it's not to be the best in the world at anything	76 76 76 76 76 76 76 67 67 76 76
it's not to win a gold medal	76 76 64 55 55 55 55
or a Nobel prize or to be a boxing champion	55 55 59 59 59 58 58 58 58 58
the thing that I want from my life	58 58 55 55 55 55 55 55
which I think is true for a lot of us	58 67 67 67 67 67 67 40 49 50
is that I wanna live a nice balanced life	50 50 46 49 67 40 37 49 49
where I'm having fun	40 41 41 41
working on things that I enjoy	49 49 49 49 49 49
doing things that contribute a bit to the world	49 49 49 49 49 41 41 41 41
and not really being overly concerned	41 49 49 49 49 49
with like trying to be the best	49 50 50 50 49 76 76
or trying to compete with other people	77 77 67 67 67 67 67
And so I think the problem	67 67 67 67 76 76
with this Muhammad Ali approach to life	76 76 76 76 76 76 76
i.e this work equals suffering approach to life	76 76 76 76 76 76 76 76
is that it kind of glorifies the hustle	76 76 76 76 76 76 67 68
and glorifies the grind that you need to suffer	49 49 40 19 49 49 49 49 49
this needs to be painful and if it's painful	49 49 47 47 49 49 49 49 49
it's because you're doing it right	41 41 41 41 14 41
and if you're not doing it	40 49 49 49 50 50
it's because you can't stand the pain	49 49 49 50 49 46 46
And obviously that's a huge oversimplification	76 79 76 79 79 49
and I'm sure his stance on this is actually more nuanced	49 76 76 76 67 64 67 70 70 67 67
But when I think of like my own life over the last 15 years	68 68 67 64 77 77 68 68 67 67 49 49 49 19
and how I do things like YouTube channel entrepreneurship	22 64 76 76 64 70 70 70 70
medical school being a doctor podcast	71 40 40 40 40 40
all this stuff that people messaged me about	41 41 41 41 41 41 40 40
none of it feels like suffering	40 40 40 40 40 41
None of it feels like a grind	41 41 41 50 50 24 15
None of it feels like work	42 32 51 51 42 42
None if it feels like a hustle	42 39 39 48 42 21 39
And so one of my housemates says	49 49 49 49 22 22 49
"It's 11 o'clock at night	49 40 40 40 41
"like why are you still working?"	68 67 67 67 67 67
It's always a bit surprising	68 68 67 67 67
'cause it really doesn't like	68 68 49 49 49
genuinely doesn't feel like work because it's actually fun	49 49 50 49 41 41 41 49 49
And that begs the question that well okay	41 41 41 49 49 49 49 49
how do we actually enjoy the things that we're doing	49 49 49 19 19 49 49 49 49 49
I'm glad you asked because	49 49 49 49 46
there's again two broad ways of tackling this	76 67 65 67 67 67 67 67
The first one is the one that like	64 68 67 41 41 41 49 49
books and stuff will tell you	49 76 49 67 67 67
which is that find your passion	76 76 67 50 49 49
and do the things that you enjoy	41 41 41 49 49 49 49
That's like one way of doing it	49 49 49 46 50 41 41
The problem with that type of thinking	41 41 41 49 41 41 41
the whole find your passion and do what you enjoy	23 23 50 50 50 50 50 41 41 41
is that a lots of us don't know what our passion is	41 41 41 41 41 41 41 41 41 41 41 41
It's like you know I don't know what my passion is	67 67 67 73 65 20 51 51 50 50 50
What am I passionate about	47 47 50 50 50
who knows	50 50
Secondly the things I'm passionate about	50 46 46 46 46 11
like I dunno playing "World of Warcraft"	11 11 41 41 41 41 41
and trying to play songs on the guitar	41 41 41 41 41 41 41 41
I'm never gonna be able to make a living	41 41 41 41 41 41 41 41 41
at playing "World of Warcraft"	41 41 41 50 50
or playing all the songs on the guitar	49 49 50 41 41 41 41 41
And if I tried I'd be like you know what	41 41 41 41 41 41 41 41 41 19
I'm gonna become one of those 0.01%	0 0 0 0 0 0 0
of single song writers who make it big in the world	0 0 0 49 49 49 49 49 49 49 49
You know the deck is stacked against me	49 49 49 50 50 50 50 50
